dataset,holdout,seed,n_train_bearings,H_max_train,a,b,fitness,a_mono,b_mono,E_lo,E_hi,C_lo,C_hi,holdout_sat_frac,holdout_n_baseline,holdout_cov_estimator,holdout_shrinkage
xjtu_sy,40Hz10kN_Bearing3_4,43,13,2538,1.0,0.0,0.959018,1.0,0.0,0.8092232054192581,8.2218836740809,0.4849352382956287,5.495086525922964,0.0389438943894389,303,ledoit_wolf,0.0160893555758548
xjtu_sy,40Hz10kN_Bearing3_5,43,13,2538,1.0,0.0,0.920027,1.0,0.0,0.8170186708044919,8.380156878758546,0.4957178547313023,5.450899140995964,0.0263157894736842,30,ledoit_wolf,0.0992474714850081
xjtu_sy,35Hz12kN_Bearing1_1,44,13,2538,1.0,0.0,0.921294,1.0,0.0,0.8212519942304255,8.381776283749856,0.462437660590448,5.391732566817702,0.0,30,ledoit_wolf,0.0631504201216333
xjtu_sy,35Hz12kN_Bearing1_2,44,13,2538,1.0,0.0,0.9056,1.0,0.0,0.824733709606632,8.321754657607743,0.4614417656602901,5.338549292254023,0.0683229813664596,32,ledoit_wolf,0.8684347624225583
xjtu_sy,35Hz12kN_Bearing1_3,44,13,2538,1.0,0.0,0.925663,1.0,0.0,0.8168136329943589,8.320494541534774,0.4616507736465798,5.399246990121434,0.0759493670886076,31,ledoit_wolf,0.1666749678628381
xjtu_sy,35Hz12kN_Bearing1_4,44,13,2538,1.0,0.0,0.950315,1.0,0.0,0.8156080504589795,8.361520748982143,0.4619856158204929,5.338593732616401,0.0,30,ledoit_wolf,0.1346961384996304
xjtu_sy,35Hz12kN_Bearing1_5,44,13,2538,1.0,0.0,0.968763,1.0,0.0,0.8127505880277047,8.35141006361355,0.457727228847136,5.338568684412151,0.0384615384615384,26,diagonal,
xjtu_sy,37.5Hz11kN_Bearing2_1,44,13,2538,1.0,0.0,0.961961,1.0,0.0,0.8113399349421342,8.266646127260076,0.4542506978498491,5.329771678437997,0.0122199592668024,98,ledoit_wolf,0.0594664761470543
xjtu_sy,37.5Hz11kN_Bearing2_2,44,13,2538,1.0,0.0,0.936151,1.0,0.0,0.8124903441400863,8.302461722094293,0.453608569755784,5.208127587132754,0.1055900621118012,32,ledoit_wolf,0.1279674160084546
xjtu_sy,37.5Hz11kN_Bearing2_3,44,13,2538,1.0,0.0,0.938293,1.0,0.0,0.8161558649360711,8.454901094339656,0.4564335191920499,5.296319628076322,0.0056285178236397,106,ledoit_wolf,0.1048790715780479
xjtu_sy,37.5Hz11kN_Bearing2_4,44,13,2538,1.0,0.0,0.922825,1.0,0.0,0.8166735065994128,8.392457153382013,0.4624647691961314,5.4517154825401,0.0476190476190476,21,diagonal,
xjtu_sy,37.5Hz11kN_Bearing2_5,44,13,2496,1.0,0.0,0.978252,1.0,0.0,0.828379378637949,8.502081969194423,0.4318823423548183,5.6195882684973375,0.0058997050147492,67,ledoit_wolf,0.0655819980230172
xjtu_sy,40Hz10kN_Bearing3_1,44,13,1515,1.0,0.0,0.998394,1.0,0.0,0.8484938100936402,8.759714047507128,0.468130026124534,5.882633454341673,0.0283687943262411,507,ledoit_wolf,0.0111403292741513
xjtu_sy,40Hz10kN_Bearing3_2,44,13,2538,1.0,0.0,0.952708,1.0,0.0,0.8173726678838381,8.708462918530447,0.5138316774718944,5.638927330525773,0.0112179487179487,499,ledoit_wolf,0.0192616592669584
xjtu_sy,40Hz10kN_Bearing3_3,44,13,2538,1.0,0.0,0.971995,1.0,0.0,0.797001648625229,8.238165580630698,0.4503099621140264,5.449716624926935,0.0053908355795148,74,ledoit_wolf,0.084898716768323
xjtu_sy,40Hz10kN_Bearing3_4,44,13,2538,1.0,0.0,0.959018,1.0,0.0,0.8092232054192581,8.2218836740809,0.4849352382956287,5.495086525922964,0.0389438943894389,303,ledoit_wolf,0.0160893555758548
xjtu_sy,40Hz10kN_Bearing3_5,44,13,2538,1.0,0.0,0.920027,1.0,0.0,0.8170186708044919,8.380156878758546,0.4957178547313023,5.450899140995964,0.0263157894736842,30,ledoit_wolf,0.0992474714850081
