dataset,a,mean,std,count
xjtu_sy,0.39,0.7573878666666667,0.02922033785241184,45
xjtu_sy,0.4,0.7617543333333333,0.02892944039068474,45
xjtu_sy,0.41,0.7662892666666666,0.02822886498652176,45
xjtu_sy,0.42,0.7701793333333333,0.02763358272267478,45
xjtu_sy,0.43,0.7728750666666667,0.027067129937687076,45
xjtu_sy,0.44,0.7757689333333333,0.02770319348706601,45
xjtu_sy,0.45,0.7799001333333333,0.027029530184259923,45
xjtu_sy,0.46,0.7831950666666666,0.026554177361318574,45
xjtu_sy,0.47,0.7858949999999999,0.026594780889216872,45
xjtu_sy,0.48,0.7881646,0.025230779595024965,45
xjtu_sy,0.49,0.7898011333333333,0.025937419522416225,45
xjtu_sy,0.5,0.7928755333333333,0.02697344482213432,45
xjtu_sy,0.51,0.7975252666666667,0.02549738657588265,45
xjtu_sy,0.52,0.8004481333333334,0.024642084829708394,45
xjtu_sy,0.53,0.8033979333333333,0.024892623895078216,45
xjtu_sy,0.54,0.8070586,0.02507851778134211,45
xjtu_sy,0.55,0.8107927333333333,0.024618465811810323,45
xjtu_sy,0.56,0.8140628666666667,0.023924949124672804,45
xjtu_sy,0.57,0.8160246000000001,0.02310647349612814,45
xjtu_sy,0.58,0.8177096666666667,0.023286478520026088,45
xjtu_sy,0.59,0.819511,0.022289758306532546,45
xjtu_sy,0.6,0.8205753333333334,0.02245167228232071,45
xjtu_sy,0.61,0.8233594,0.022913710842280336,45
xjtu_sy,0.62,0.8264429999999999,0.022755103616351864,45
xjtu_sy,0.63,0.8291934666666667,0.022714305385893602,45
xjtu_sy,0.64,0.83173,0.021963800344906394,45
xjtu_sy,0.65,0.8330470000000001,0.021932704117575023,45
xjtu_sy,0.66,0.8360779999999999,0.02293224532776343,45
xjtu_sy,0.67,0.8395346666666667,0.02106787654657722,45
xjtu_sy,0.68,0.8405009333333333,0.02161047835320971,45
xjtu_sy,0.69,0.8430616666666667,0.022096031737519176,45
xjtu_sy,0.7,0.8440965333333333,0.019851170125346623,45
xjtu_sy,0.71,0.8431540666666666,0.020736543837784636,45
xjtu_sy,0.72,0.8436978666666666,0.02118512009599707,45
xjtu_sy,0.73,0.8454646,0.021127958188144915,45
xjtu_sy,0.74,0.8475129333333332,0.02121051177043208,45
xjtu_sy,0.75,0.8472201333333333,0.02181503244699938,45
xjtu_sy,0.76,0.8493811333333332,0.021135679919596546,45
xjtu_sy,0.77,0.8504771333333333,0.021038961159326203,45
xjtu_sy,0.78,0.8513453333333334,0.020022384359874437,45
xjtu_sy,0.79,0.8499526,0.020235293426675002,45
xjtu_sy,0.8,0.8496313999999999,0.02074802062015906,45
xjtu_sy,0.81,0.8514091333333333,0.020882011654880038,45
xjtu_sy,0.82,0.8542004,0.01932234848374474,45
xjtu_sy,0.83,0.851774,0.01897271670416136,45
xjtu_sy,0.84,0.8526190666666666,0.018690746867707775,45
xjtu_sy,0.85,0.8555679333333334,0.0195348988949614,45
xjtu_sy,0.86,0.8596134666666667,0.019025353357846202,45
xjtu_sy,0.87,0.8612823333333334,0.01901404425561657,45
xjtu_sy,0.88,0.8648408666666667,0.018470228249069576,45
xjtu_sy,0.89,0.8676115999999999,0.019220445707631224,45
xjtu_sy,0.9,0.8706988666666666,0.02126042067872513,45
xjtu_sy,0.91,0.8835015333333333,0.020493234806771083,45
xjtu_sy,0.92,0.8841910000000001,0.02043875312755383,45
xjtu_sy,0.93,0.8837475333333333,0.01984129698794,45
xjtu_sy,0.94,0.8903491333333333,0.02091041292101313,45
xjtu_sy,0.95,0.8927121333333333,0.02100035540565056,45
xjtu_sy,0.96,0.8978748666666667,0.022332911868524298,45
xjtu_sy,0.97,0.9051165333333333,0.022917777140742227,45
xjtu_sy,0.98,0.9099417333333334,0.02308234851411944,45
xjtu_sy,0.99,0.9248656666666667,0.024208159856469156,45
xjtu_sy,1.0,0.9474172666666667,0.025398385245200876,45
