dataset,seed,bearing,nominal,picp,mpiw,q,n_cal
xjtu_sy,s42,37.5Hz11kN_Bearing2_1,0.8,0.8228,0.8628,0.4314,161
xjtu_sy,s42,37.5Hz11kN_Bearing2_1,0.9,0.8737,1.0145,0.5073,161
xjtu_sy,s42,37.5Hz11kN_Bearing2_2,0.8,0.205,0.3053,0.1527,533
xjtu_sy,s42,37.5Hz11kN_Bearing2_2,0.9,0.5652,0.3764,0.1882,533
xjtu_sy,s42,37.5Hz11kN_Bearing2_3,0.8,0.8968,0.3664,0.1832,42
xjtu_sy,s42,37.5Hz11kN_Bearing2_3,0.9,0.9343,0.4761,0.2381,42
xjtu_sy,s42,37.5Hz11kN_Bearing2_4,0.8,1.0,0.9351,0.4675,339
xjtu_sy,s42,37.5Hz11kN_Bearing2_4,0.9,1.0,0.97,0.485,339
xjtu_sy,s42,37.5Hz11kN_Bearing2_5,0.8,0.4749,0.7797,0.3898,2538
xjtu_sy,s42,37.5Hz11kN_Bearing2_5,0.9,1.0,1.1039,0.5519,2538
xjtu_sy,s42,40Hz10kN_Bearing3_1,0.8,0.7612,0.6548,0.3274,2496
xjtu_sy,s42,40Hz10kN_Bearing3_1,0.9,0.8176,0.8335,0.4168,2496
xjtu_sy,s42,40Hz10kN_Bearing3_2,0.8,0.7925,0.6454,0.3227,371
xjtu_sy,s42,40Hz10kN_Bearing3_2,0.9,0.9391,0.9535,0.4768,371
xjtu_sy,s42,40Hz10kN_Bearing3_3,0.8,0.8302,0.7293,0.3647,1515
xjtu_sy,s42,40Hz10kN_Bearing3_3,0.9,0.9326,1.0622,0.5311,1515
xjtu_sy,s42,40Hz10kN_Bearing3_4,0.8,1.0,1.4909,0.7454,114
xjtu_sy,s42,40Hz10kN_Bearing3_4,0.9,1.0,1.5677,0.7839,114
xjtu_sy,s42,40Hz10kN_Bearing3_5,0.8,0.2368,0.2876,0.1438,123
xjtu_sy,s42,40Hz10kN_Bearing3_5,0.9,0.2807,0.3816,0.1908,123
xjtu_sy,s43,35Hz12kN_Bearing1_1,0.8,1.0,1.1134,0.5567,161
xjtu_sy,s43,35Hz12kN_Bearing1_1,0.9,1.0,1.3992,0.6996,161
xjtu_sy,s43,35Hz12kN_Bearing1_2,0.8,0.4783,0.4516,0.2258,158
xjtu_sy,s43,35Hz12kN_Bearing1_2,0.9,0.4783,0.4574,0.2287,158
xjtu_sy,s43,35Hz12kN_Bearing1_3,0.8,1.0,1.044,0.522,122
xjtu_sy,s43,35Hz12kN_Bearing1_3,0.9,1.0,1.3766,0.6883,122
xjtu_sy,s43,35Hz12kN_Bearing1_4,0.8,0.6148,0.4074,0.2037,52
xjtu_sy,s43,35Hz12kN_Bearing1_4,0.9,0.623,0.416,0.208,52
xjtu_sy,s43,35Hz12kN_Bearing1_5,0.8,1.0,0.9728,0.4864,491
xjtu_sy,s43,35Hz12kN_Bearing1_5,0.9,1.0,1.2107,0.6054,491
xjtu_sy,s43,37.5Hz11kN_Bearing2_1,0.8,0.7841,0.9355,0.4677,161
xjtu_sy,s43,37.5Hz11kN_Bearing2_1,0.9,0.8167,1.0045,0.5022,161
xjtu_sy,s43,37.5Hz11kN_Bearing2_2,0.8,0.5963,0.3992,0.1996,533
xjtu_sy,s43,37.5Hz11kN_Bearing2_2,0.9,0.6398,0.5149,0.2575,533
