dataset,config,holdout,seed,n_train_bearings,n_test_windows,hi_cols,vtoi_a,vtoi_b,vtoi_fitness,vtoi_sat_frac_test,rul_mae,rul_rmse,rul_r2,rul_mae_hours,rul_rmse_hours,rul_phm_score,rul_asym_score,first_warning,lead_time,false_alarm_rate,mtoi_rmse,mtoi_spearman,mtoi_spearman_signed,mtoi_spearman_vs_deg,mtoi_monotonicity,stage_acc,stage_macro_f1,stage_bal_acc
pronostia,abl_no_smooth,Full_Test_Set_Bearing1_4,44,15,1428,E_norm|C_norm|VTOI,0.87,0.13,0.700434,0.1953781512605042,0.202570766210556,0.2275996655225753,0.5296156238198743,0.4817808270454407,0.5413078665733337,56.7491495104826,0.5567137483280434,1089,338,0.0,0.1915287524461746,0.557750043838926,-0.557750043838926,0.557750043838926,0.0105115627189908,0.1477591036414565,0.1944027107374612,0.2462042957861944
pronostia,abl_no_mono,Full_Test_Set_Bearing1_4,44,15,1428,E_norm|C_norm|VTOI,0.87,0.13,0.700434,0.1953781512605042,0.2006987184286117,0.2267333716154098,0.533189630653105,0.4773285090923309,0.5392475128173828,56.29274126622187,0.5535103691212249,1090,337,0.0,0.1575497686862945,0.5526508527671778,-0.5526508527671778,0.5526508527671778,0.0161177295024527,0.7408963585434174,0.4138539606922096,0.4918285712809817
pronostia,vtoi_static,Full_Test_Set_Bearing1_5,44,15,2463,E_norm|C_norm|VTOI,0.88,0.12,0.710895,0.0012180267965895,0.2883448600769043,0.3253814578056335,0.0381564872039508,1.1831752061843872,1.3351486921310425,278.3734555585681,1.7870983926281014,2449,13,0.0,0.0528027266263961,0.0309646042242798,0.0309646042242798,-0.0309646042242798,0.0121852152721364,0.6041412911084044,0.2261710868097539,0.2701612903225806
pronostia,vtoi_traj,Full_Test_Set_Bearing1_5,44,15,2463,E_norm|C_norm|VTOI|VTOI_vel|VTOI_acc,0.88,0.12,0.710895,0.0012180267965895,0.2897886037826538,0.3249508440494537,0.0407006846805956,1.1890993118286133,1.3333816528320312,277.7419032249341,1.7696275327566795,2443,19,0.0,0.0606223419308662,0.0422686003375339,0.0422686003375339,-0.0422686003375339,0.0105605199025182,0.0377588306942752,0.0183460838384198,0.185653018464359
pronostia,transformer_vib,Full_Test_Set_Bearing1_5,44,15,2463,,0.88,0.12,0.710895,0.0012180267965895,0.2354919016361236,0.2787337601184845,0.2941735764439341,0.966301679611206,1.143737554550171,224.44443324502024,1.4412485870103142,2443,19,0.0,0.6631495356559753,0.6343278766306283,0.6343278766306283,-0.6343278766306283,0.0,0.2878603329273244,0.1407780210896786,0.1671682978997497
pronostia,tcn_vib,Full_Test_Set_Bearing1_5,44,15,2463,,0.88,0.12,0.710895,0.0012180267965895,0.3016194999217987,0.3344510495662689,-0.0162108625874686,1.2376452684402466,1.3723640441894531,284.996703047774,1.7788867287678471,-1,0,0.0,0.4270328879356384,0.0168865188554125,0.0168865188554125,-0.0168865188554125,0.0064987814784727,0.050345107592367,0.0239659837649787,0.25
pronostia,tcn_transformer_vib,Full_Test_Set_Bearing1_5,44,15,2463,,0.88,0.12,0.710895,0.0012180267965895,0.289525955915451,0.3300508856773376,0.0103525097989629,1.188021540641785,1.3543087244033811,282.16331468298466,1.8243795307903312,-1,0,0.0,0.5504719018936157,0.0532537739338841,-0.0532537739338841,0.0532537739338841,0.0129975629569455,0.1997563946406821,0.0835881753312946,0.25
pronostia,cnn_bilstm_attn_vib,Full_Test_Set_Bearing1_5,44,15,2463,,0.88,0.12,0.710895,0.0012180267965895,0.2853569984436035,0.3192342817783355,0.074155878756309,1.170914888381958,1.3099247217178345,262.25797915610013,1.5826926381259905,-1,0,0.0,0.3507591485977173,0.5371227929658026,0.5371227929658026,-0.5371227929658026,0.0113728675873273,0.1587494924888347,0.1238248518197938,0.2449186991869918
pronostia,abl_no_idxhead,Full_Test_Set_Bearing1_5,44,15,2463,,0.88,0.12,0.710895,0.0012180267965895,0.2902237474918365,0.3267616927623749,0.0299792415415721,1.1908848285675049,1.340812087059021,279.8581126832029,1.7937520418455657,2448,14,0.0,0.0498392470180988,0.211397705124577,0.211397705124577,-0.211397705124577,0.0064987814784727,0.5866829070239545,0.193346147547595,0.2477901919826304
pronostia,abl_cond_noaux,Full_Test_Set_Bearing1_5,44,15,2463,E_norm|C_norm|VTOI,0.88,0.12,0.710895,0.0012180267965895,0.2223310768604278,0.2785126864910126,0.2952927275288501,0.912298619747162,1.142830491065979,219.20513106960095,1.4557042733983183,2443,19,0.0,0.3303792476654053,0.6068062305002527,0.6068062305002527,-0.6068062305002527,0.0178716490658001,0.1892001624035728,0.1580197335856089,0.2489825199170844
pronostia,abl_E_only,Full_Test_Set_Bearing1_5,44,15,2463,E_norm,0.88,0.12,0.710895,0.0012180267965895,0.2154473066329956,0.2637684047222137,0.367931262108248,0.884052038192749,1.0823297500610352,205.00131702953348,1.3179065110167572,2444,18,0.0,0.0533753894269466,0.0114530172288021,0.0114530172288021,-0.0114530172288021,0.0097481722177091,0.1193666260657734,0.0893788241553604,0.2406842818428184
pronostia,abl_no_smooth,Full_Test_Set_Bearing1_5,44,15,2463,E_norm|C_norm|VTOI,0.88,0.12,0.710895,0.0012180267965895,0.2893978357315063,0.3257421851158142,0.0360227299541068,1.1874958276748655,1.336628794670105,278.90268986903163,1.787360853828464,2448,14,0.0,0.0501710064709186,0.1635910644330398,0.1635910644330398,-0.1635910644330398,0.0016246953696181,0.511165245635404,0.2934040889035257,0.2981015466992593
pronostia,abl_no_mono,Full_Test_Set_Bearing1_5,44,15,2463,E_norm|C_norm|VTOI,0.88,0.12,0.710895,0.0012180267965895,0.2885797321796417,0.3255246579647064,0.0373098454069397,1.1841390132904053,1.3357361555099487,278.6197593954929,1.7888966329137512,2448,14,0.0,0.0507527738809585,0.1354570965523802,0.1354570965523802,-0.1354570965523802,0.0056864337936636,0.6037352821762079,0.2222588597960991,0.2681451612903225
pronostia,vtoi_static,Full_Test_Set_Bearing1_6,44,15,2448,E_norm|C_norm|VTOI,0.88,0.12,0.707944,0.0,0.2838511765003204,0.3237302601337433,0.0478977024464527,1.1576396226882937,1.3202799558639526,271.84274262078486,1.764113978555257,1646,801,0.0,0.1180754378437995,0.1083816764454655,0.1083816764454655,-0.1083816764454655,0.0143032284429914,0.0461601307189542,0.0220703125,0.2296747967479674
pronostia,vtoi_traj,Full_Test_Set_Bearing1_6,44,15,2448,E_norm|C_norm|VTOI|VTOI_vel|VTOI_acc,0.88,0.12,0.707944,0.0,0.2794798910617828,0.3240764141082763,0.0458606012544152,1.1398122310638428,1.321691632270813,270.47720676949825,1.7721629580842355,1639,808,0.0,0.1254963129758834,0.1218137159823836,0.1218137159823836,-0.1218137159823836,0.0004086636697997,0.5972222222222222,0.1936176805324657,0.2505140316367853
pronostia,transformer_vib,Full_Test_Set_Bearing1_6,44,15,2448,,0.88,0.12,0.707944,0.0,0.2902453243732452,0.3290517330169678,0.0163393303307021,1.1837172508239746,1.34198260307312,274.88116953014656,1.7575082795664416,1650,797,0.0,0.4148565828800201,0.1021798565800799,0.1021798565800799,-0.1021798565800799,0.0183898651409889,0.4530228758169934,0.1781023058975628,0.220393553493057
pronostia,tcn_vib,Full_Test_Set_Bearing1_6,44,15,2448,,0.88,0.12,0.707944,0.0,0.2945110201835632,0.3314068019390106,0.0022083940207726,1.2011141777038574,1.351587414741516,279.62664063733706,1.793092929915825,-1,0,0.0,0.2153901755809784,0.4061461175394762,0.4061461175394762,-0.4061461175394762,0.0159378831221904,0.1997549019607843,0.0832482124616956,0.25
pronostia,tcn_transformer_vib,Full_Test_Set_Bearing1_6,44,15,2448,,0.88,0.12,0.707944,0.0,0.2882318794727325,0.3257277309894562,0.0361123000296504,1.175505757331848,1.3284262418746948,274.4786794488837,1.7705842934092704,2427,20,0.0,0.4774147272109985,0.0376009957641207,0.0376009957641207,-0.0376009957641207,0.0122599100939926,0.6008986928104575,0.1951390679155567,0.2528954431549016
pronostia,cnn_bilstm_attn_vib,Full_Test_Set_Bearing1_6,44,15,2448,,0.88,0.12,0.707944,0.0,0.2972869575023651,0.3322718739509582,-0.0030074718157668,1.212435245513916,1.355115532875061,280.0872506309299,1.7803715356114682,-1,0,0.0,0.3976069092750549,0.2473392087458339,-0.2473392087458339,0.2473392087458339,0.0020433183489987,0.1997549019607843,0.0832482124616956,0.25
pronostia,abl_no_idxhead,Full_Test_Set_Bearing1_6,44,15,2448,,0.88,0.12,0.707944,0.0,0.2847884893417358,0.3253761827945709,0.0381915866692746,1.1614623069763184,1.3269926309585571,273.4338144276616,1.7779870818673824,2431,16,0.0,0.1249577179551124,0.0777539948420418,0.0777539948420418,-0.0777539948420418,0.0069472823865958,0.1948529411764706,0.0822981366459627,0.2438650306748466
pronostia,abl_cond_noaux,Full_Test_Set_Bearing1_6,44,15,2448,E_norm|C_norm|VTOI,0.88,0.12,0.707944,0.0,0.2751974165439605,0.3210232555866241,0.0637540476757834,1.1223468780517578,1.3092398643493652,267.6620911232545,1.7653243102042349,1641,806,0.0,0.2301426827907562,0.1441420654674987,0.1441420654674987,-0.1441420654674987,0.0012259910093992,0.1638071895424836,0.0790055390351261,0.2511871131448667
pronostia,abl_E_only,Full_Test_Set_Bearing1_6,44,15,2448,E_norm,0.88,0.12,0.707944,0.0,0.282099187374115,0.3262189626693725,0.0332026803404066,1.1504944562911987,1.3304296731948853,271.1729346131813,1.7614642544004693,1631,816,0.0,0.1171546205878257,0.1192769331804666,0.1192769331804666,-0.1192769331804666,0.0102165917449938,0.1544117647058823,0.0871285791708606,0.2576465588463578
pronostia,abl_no_smooth,Full_Test_Set_Bearing1_6,44,15,2448,E_norm|C_norm|VTOI,0.88,0.12,0.707944,0.0,0.2797252535820007,0.3232221901416778,0.0508839890987876,1.1408129930496216,1.3182077407836914,270.3291277638133,1.7701811880001486,2420,27,0.0,0.1334048211574554,0.1279629011974786,0.1279629011974786,-0.1279629011974786,0.0077646097261953,0.6078431372549019,0.2540803305155845,0.2886178861788618
pronostia,abl_no_mono,Full_Test_Set_Bearing1_6,44,15,2448,E_norm|C_norm|VTOI,0.88,0.12,0.707944,0.0,0.2748055458068847,0.3293371498584747,0.0146318888948125,1.1207486391067505,1.343146800994873,272.68717274572015,1.8254182218245665,2420,27,0.0,0.1207511499524116,0.0091128419584469,0.0091128419584469,-0.0091128419584469,0.0028606456885982,0.1952614379084967,0.0825561312607944,0.2443762781186094
pronostia,vtoi_static,Full_Test_Set_Bearing1_7,44,15,2259,E_norm|C_norm|VTOI,0.88,0.12,0.721486,0.0004426737494466,0.2813732028007507,0.3303403556346893,0.0086752218714815,1.058901071548462,1.2431808710098269,234.1263114613425,1.696918545897074,2256,2,0.0,0.1050944924354553,0.4527769098242373,-0.4527769098242373,0.4527769098242373,0.0252435783879539,0.2031872509960159,0.1130879440524817,0.2654867256637168
pronostia,vtoi_traj,Full_Test_Set_Bearing1_7,44,15,2259,E_norm|C_norm|VTOI|VTOI_vel|VTOI_acc,0.88,0.12,0.721486,0.0004426737494466,0.2812203466892242,0.329476922750473,0.013850564538263,1.0583258867263794,1.2399314641952517,233.645459200253,1.6916455380676705,-1,0,0.0,0.0977923050522804,0.4941888157634895,-0.4941888157634895,0.4941888157634895,0.0106288751107174,0.2000885347498893,0.0836727138097001,0.25
pronostia,transformer_vib,Full_Test_Set_Bearing1_7,44,15,2259,,0.88,0.12,0.721486,0.0004426737494466,0.2845607995986938,0.3321641683578491,-0.0023013282486532,1.070897102355957,1.2500444650650024,236.01871438744612,1.7040201150189678,2256,2,0.0,0.2878269255161285,0.1603189547188734,-0.1603189547188734,0.1603189547188734,0.0088573959255978,0.1239486498450642,0.0874070529831502,0.2625368731563421
pronostia,tcn_vib,Full_Test_Set_Bearing1_7,44,15,2259,,0.88,0.12,0.721486,0.0004426737494466,0.3052882850170135,0.3375300467014313,-0.0349458886013205,1.1489015817642212,1.270238161087036,239.33004145437937,1.6203780060635251,-1,0,0.0,0.8095929622650146,0.1524826271239998,0.1524826271239998,-0.1524826271239998,0.0004428697962798,0.5418326693227091,0.1829348401172295,0.2319139209091206
pronostia,tcn_transformer_vib,Full_Test_Set_Bearing1_7,44,15,2259,,0.88,0.12,0.721486,0.0004426737494466,0.2949995696544647,0.3319091796875,-0.0007630085806007,1.11018168926239,1.2490849494934082,237.046885561562,1.6559609715994192,-1,0,0.0,0.2321967482566833,0.0409675294947869,0.0409675294947869,-0.0409675294947869,0.0066430469441984,0.0500221336874723,0.0238195615514333,0.25
