dataset,config,seed,holdout,rul_mae,rul_mae_hours,mtoi_spearman_signed,vtoi_a,vtoi_b,vtoi_sat_frac_test
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing2_7,0.2654629349708557,0.101318359375,-0.258332630366602,0.88,0.12,0.0
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing3_3,0.2140895724296569,0.1545013040304184,0.5621643457515879,0.88,0.12,0.0
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing3_3,0.26469287276268,0.191020056605339,-0.509732007533324,0.88,0.12,0.0
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing3_3,0.226518452167511,0.1634708195924759,-0.4563658624993467,0.88,0.12,0.0
pronostia,abl_cond_noaux,42,Learning_set_Bearing1_1,0.1823177337646484,0.8514238595962524,0.7246206205949274,0.88,0.12,0.0767035319300749
pronostia,abl_cond_noaux,43,Learning_set_Bearing1_1,0.1972506940364837,0.9211607575416564,-0.8321276860935859,0.88,0.12,0.0767035319300749
pronostia,abl_cond_noaux,44,Learning_set_Bearing1_1,0.2370939999818802,1.1072288751602173,0.8423881887293969,0.88,0.12,0.0767035319300749
pronostia,abl_cond_noaux,42,Learning_set_Bearing1_2,0.2788550853729248,0.4043398201465606,0.2311340124242439,0.88,0.12,0.0
pronostia,abl_cond_noaux,43,Learning_set_Bearing1_2,0.2878007590770721,0.4173111319541931,-0.0598387963118731,0.88,0.12,0.0
pronostia,abl_cond_noaux,44,Learning_set_Bearing1_2,0.2585648000240326,0.3749189376831054,0.3400545113902132,0.88,0.12,0.0
pronostia,abl_cond_noaux,42,Learning_set_Bearing2_1,0.2901923656463623,0.4401250779628753,-0.1200041512759847,0.88,0.12,0.0
pronostia,abl_cond_noaux,43,Learning_set_Bearing2_1,0.283983439207077,0.4307081997394562,0.2073897702157923,0.88,0.12,0.0
pronostia,abl_cond_noaux,44,Learning_set_Bearing2_1,0.2730529010295868,0.4141302704811096,0.0893727825703054,0.88,0.12,0.0
pronostia,abl_cond_noaux,42,Learning_set_Bearing2_2,0.3079639971256256,0.4085655808448791,-0.7654256090141242,0.88,0.12,0.0
pronostia,abl_cond_noaux,43,Learning_set_Bearing2_2,0.2974407076835632,0.3946046531200409,-0.7117096909223691,0.88,0.12,0.0
pronostia,abl_cond_noaux,44,Learning_set_Bearing2_2,0.3166389465332031,0.4200743436813354,0.6022953886699363,0.88,0.12,0.0
pronostia,abl_cond_noaux,42,Learning_set_Bearing3_1,0.2728542685508728,0.2337451726198196,0.1130044768958046,0.87,0.13,0.0
pronostia,abl_cond_noaux,43,Learning_set_Bearing3_1,0.2621013522148132,0.2245334982872009,-0.0130873156993317,0.87,0.13,0.0
pronostia,abl_cond_noaux,44,Learning_set_Bearing3_1,0.2617939412593841,0.224270150065422,-0.1276422834978822,0.87,0.13,0.0
pronostia,abl_cond_noaux,42,Learning_set_Bearing3_2,0.2788092494010925,0.7602199912071228,0.0265494709449283,0.89,0.11,0.1111789859499083
pronostia,abl_cond_noaux,43,Learning_set_Bearing3_2,0.2762480080127716,0.7532362937927246,0.0457667448777109,0.89,0.11,0.1111789859499083
pronostia,abl_cond_noaux,44,Learning_set_Bearing3_2,0.2688624858856201,0.7330984473228455,0.2270238033396393,0.89,0.11,0.1111789859499083
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing1_3,0.1902481466531753,0.7527484893798828,-0.8731051146514542,0.86,0.14,0.2164210526315789
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing1_3,0.1815190762281417,0.7182104587554932,-0.8274338023663016,0.86,0.14,0.2164210526315789
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing1_3,0.185152530670166,0.7325868606567383,-0.8011994667330858,0.86,0.14,0.2164210526315789
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing1_4,0.2100287973880767,0.499518483877182,-0.5118125222042973,0.87,0.13,0.1953781512605042
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing1_4,0.2068382650613784,0.4919303357601166,-0.5265103896700492,0.87,0.13,0.1953781512605042
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing1_4,0.2009555846452713,0.4779393374919891,-0.524563049665328,0.87,0.13,0.1953781512605042
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing1_5,0.2845463752746582,1.167588472366333,0.312836460882258,0.88,0.12,0.0012180267965895
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing1_5,0.2881796658039093,1.182497501373291,0.0963459475431787,0.88,0.12,0.0012180267965895
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing1_5,0.2902237474918365,1.1908848285675049,0.211397705124577,0.88,0.12,0.0012180267965895
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing1_6,0.2883054316043854,1.175805687904358,0.2682691106320895,0.88,0.12,0.0
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing1_6,0.2828775942325592,1.1536691188812256,0.0859724490289802,0.88,0.12,0.0
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing1_6,0.2847884893417358,1.1614623069763184,0.0777539948420418,0.88,0.12,0.0
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing1_7,0.2875871658325195,1.082286357879639,-0.053723177642534,0.88,0.12,0.0004426737494466
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing1_7,0.2932548224925995,1.1036157608032229,-0.1288289030906948,0.88,0.12,0.0004426737494466
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing1_7,0.2806445062160492,1.0561587810516355,-0.6137929239297681,0.88,0.12,0.0004426737494466
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing2_3,0.3043430149555206,0.9911438822746276,0.1514250455357912,0.87,0.13,0.0
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing2_3,0.3043553233146667,0.991183876991272,0.2078727172423345,0.87,0.13,0.0
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing2_3,0.2973652780056,0.9684195518493652,0.1856892112267931,0.87,0.13,0.0
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing2_4,0.2966592609882355,0.3708240985870361,0.0817929124209405,0.88,0.12,0.0
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing2_4,0.2886082828044891,0.360760360956192,0.030536016797552,0.88,0.12,0.0
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing2_4,0.2879704535007477,0.3599630296230316,0.0387003665722733,0.88,0.12,0.0
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing2_5,0.2975004613399505,1.1453768014907837,0.1448422827093063,0.86,0.14,0.0
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing2_5,0.3053280711174011,1.1755130290985107,0.1955756630725863,0.86,0.14,0.0
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing2_5,0.3086379468441009,1.1882561445236206,0.3884904889114684,0.86,0.14,0.0
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing2_6,0.2863629460334778,0.3340901732444763,-0.06293091982344,0.88,0.12,0.0
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing2_6,0.2844197452068329,0.3318230807781219,0.0714267067514583,0.88,0.12,0.0
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing2_6,0.2848077118396759,0.3322756588459015,-0.1279649994210956,0.88,0.12,0.0
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing2_7,0.2722238004207611,0.1038987562060356,-0.2900145692481449,0.88,0.12,0.0
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing2_7,0.2673567831516266,0.1020411625504493,-0.2809750932004535,0.88,0.12,0.0
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing2_7,0.2787340879440307,0.1063835322856903,-0.1879990121998988,0.88,0.12,0.0
pronostia,abl_no_idxhead,42,Full_Test_Set_Bearing3_3,0.273546427488327,0.1974093317985534,-0.0404355856436873,0.88,0.12,0.0
pronostia,abl_no_idxhead,43,Full_Test_Set_Bearing3_3,0.2698225080966949,0.194721907377243,-0.326778940047828,0.88,0.12,0.0
pronostia,abl_no_idxhead,44,Full_Test_Set_Bearing3_3,0.2483316957950592,0.1792127192020416,-0.6512547833935656,0.88,0.12,0.0
pronostia,abl_no_idxhead,42,Learning_set_Bearing1_1,0.2085934728384018,0.9741314649581908,-0.8931419562811527,0.88,0.12,0.0767035319300749
pronostia,abl_no_idxhead,43,Learning_set_Bearing1_1,0.2066746205091476,0.9651703834533693,-0.8202864820793081,0.88,0.12,0.0767035319300749
pronostia,abl_no_idxhead,44,Learning_set_Bearing1_1,0.2167440056800842,1.0121945142745972,-0.9002115315210918,0.88,0.12,0.0767035319300749
pronostia,abl_no_idxhead,42,Learning_set_Bearing1_2,0.2715907692909241,0.3938066661357879,-0.0458430431904775,0.88,0.12,0.0
pronostia,abl_no_idxhead,43,Learning_set_Bearing1_2,0.2786987423896789,0.4041132032871246,-0.0784588618345214,0.88,0.12,0.0
pronostia,abl_no_idxhead,44,Learning_set_Bearing1_2,0.2483031898736953,0.360039621591568,-0.4697677381887973,0.88,0.12,0.0
pronostia,abl_no_idxhead,42,Learning_set_Bearing2_1,0.3036107122898102,0.4604762494564056,-0.3190180475287169,0.88,0.12,0.0
pronostia,abl_no_idxhead,43,Learning_set_Bearing2_1,0.2912188172340393,0.4416818916797638,-0.3454624439344572,0.88,0.12,0.0
pronostia,abl_no_idxhead,44,Learning_set_Bearing2_1,0.3037370145320892,0.4606677591800689,-0.3314839973024438,0.88,0.12,0.0
pronostia,abl_no_idxhead,42,Learning_set_Bearing2_2,0.3106531202793121,0.4121331572532654,-0.7120446246529716,0.88,0.12,0.0
pronostia,abl_no_idxhead,43,Learning_set_Bearing2_2,0.3244730234146118,0.4304675459861755,-0.7017990557827322,0.88,0.12,0.0
pronostia,abl_no_idxhead,44,Learning_set_Bearing2_2,0.3871691226959228,0.5136443972587585,-0.7474066146534217,0.88,0.12,0.0
pronostia,abl_no_idxhead,42,Learning_set_Bearing3_1,0.2717826068401336,0.2328271120786667,-0.051509419841295,0.87,0.13,0.0
pronostia,abl_no_idxhead,43,Learning_set_Bearing3_1,0.2671156823635101,0.2288291007280349,0.0020144340589871,0.87,0.13,0.0
pronostia,abl_no_idxhead,44,Learning_set_Bearing3_1,0.2716007530689239,0.232671320438385,-0.0153738227516881,0.87,0.13,0.0
pronostia,abl_no_idxhead,42,Learning_set_Bearing3_2,0.2735214233398437,0.7458018660545349,0.0385903772627166,0.89,0.11,0.1111789859499083
pronostia,abl_no_idxhead,43,Learning_set_Bearing3_2,0.2803927063941955,0.7645374536514282,-0.0629106672369814,0.89,0.11,0.1111789859499083
pronostia,abl_no_idxhead,44,Learning_set_Bearing3_2,0.2697612345218658,0.7355490326881409,-0.078567154260813,0.89,0.11,0.1111789859499083
pronostia,abl_no_mono,42,Full_Test_Set_Bearing1_3,0.1842949986457824,0.7291938662528992,-0.8326128417421429,0.86,0.14,0.2164210526315789
pronostia,abl_no_mono,43,Full_Test_Set_Bearing1_3,0.1149247512221336,0.4547189474105835,-0.8267260905276377,0.86,0.14,0.2164210526315789
